ID,Display name,Ox,Oy
56449,7,541259.5,165160.5
55819,7,539754.5,163206.3
55485,7,542336.7,165400.0
54907,7,539609.6,167290.2
54764,7,539730.0,163162.8
54695,7,539814.5,163244.8
54680,7,542357.0,165243.0
54677,7,542356.6,165278.3
54567,7,540061.0,169080.5
54416,7,546113.8,169906.7
54347,7,547523.5,165056.2
54324,7,539700.5,167237.9
54174,7,547571.5,165060.1
53528,7,540537.2,170827.6
53515,7,539640.4,167256.1
53442,7,545581.9,169882.7
53413,7,539878.6,167304.5
53006,7,539609.3,167262.0
53002,7,539651.5,167238.1
52088,7,543866.4,165691.3
51491,7,546973.8,167039.2
51089,7,542764.0,171555.1
50744,7,538909.3,166697.7
50681,7,547149.2,164448.8
48964,7,541440.4,169545.1
48621,7,541175.7,169829.6
48168,7,542721.2,171918.2
46725,7,540188.2,166210.3
46661,7,542336.4,170121.3
45971,7,539660.1,167581.6
45124,7,547019.4,169983.0
41702,7,543988.4,165780.6
41644,7,541795.0,170240.5
40450,7,533884.5,170124.7
40449,7,533878.4,170128.5
38320,7,542333.6,170190.4
37350,7,540359.0,167067.5
36675,7,540397.5,167403.9
36357,7,542092.1,171932.5
35598,7,542256.5,171902.2
35183,7,541298.4,171256.5
34994,7,539127.1,167991.7
34966,7,537783.0,166655.0
32242,7,542501.4,171058.7
31567,7,545417.4,166469.5
31000,7,543605.0,165479.5
30427,7,542371.4,170620.9
28410,7,544766.8,167146.8
26888,7,543822.0,167388.4
26677,7,547120.8,164407.0
25763,7,544310.8,165861.8
25185,7,538887.3,169493.5
24058,7,547855.0,164316.1
24038,7,548698.7,163128.0
23504,7,537808.6,170313.6
22313,7,547788.2,164336.9
21911,7,542951.4,170905.9
21694,7,545899.4,164366.6
21614,7,542947.4,170911.2
20656,7,547962.7,164164.0
20026,7,538820.8,168433.7
19870,7,537689.2,170323.6
65515,6,543336.2,170704.0
65402,6,539091.8,164872.8
64898,6,540193.2,168705.3
64738,6,537616.4,169013.6
64360,6,537868.4,168681.3
64286,6,537799.1,168620.5
64118,6,539534.2,167958.9
63900,6,539379.4,167865.0
63882,6,537531.1,169141.3
63750,6,547180.8,167768.4
63743,6,547185.1,167934.8
63515,6,537471.5,169117.4
63375,6,539316.8,164929.0
63346,6,547122.5,167572.7
63258,6,547136.2,167573.1
62966,6,537637.2,169042.0
62608,6,537760.8,168594.4
62595,6,537758.2,168585.1
62562,6,537479.3,169108.6
62501,6,542119.1,159221.1
62455,6,539083.8,165207.3
62451,6,539155.3,165178.9
62377,6,538883.3,165150.8
62361,6,547106.2,167578.1
62109,6,547132.2,167616.4
62106,6,547150.9,167557.1
62079,6,547134.7,167589.3
61988,6,535319.9,169591.6
61916,6,543306.3,171086.6
61895,6,544740.2,164796.7
61816,6,536640.9,169933.0
61451,6,537545.8,169153.4
61393,6,534379.7,171310.5
60926,6,534248.2,171403.1
60767,6,542478.2,167173.8
60637,6,536644.1,169535.9
60472,6,542747.2,165325.0
60403,6,534725.6,169494.4
60084,6,539609.1,169017.8
60066,6,540841.8,164917.0
59633,6,537094.9,169224.3
59499,6,546030.9,167113.6
59376,6,542620.6,167231.1
59240,6,537615.0,167832.8
58844,6,537595.1,167738.2
58697,6,546635.6,166555.5
58674,6,542854.3,165059.3
58666,6,534706.2,169524.4
58394,6,537522.8,167758.9
58374,6,545495.2,164365.2
58055,6,537342.6,168197.7
57705,6,546808.5,166748.3
57476,6,537615.7,167736.6
57262,6,546243.1,167072.2
57223,6,543446.3,165289.8
57087,6,536686.5,169957.9
57073,6,536406.6,171248.0
56844,6,546224.5,164141.1
56827,6,543619.6,165315.8
56802,6,537447.3,167705.2
56781,6,545391.9,164192.1
56778,6,545494.5,164366.5
56664,6,546386.2,170454.1
56582,6,542210.0,159226.2
56551,6,537087.9,169129.8
56290,6,535190.0,170838.4
56182,6,539815.1,163261.5
56143,6,547139.1,166263.3
56141,6,547314.6,162598.0
56128,6,535124.7,170760.7
55888,6,536414.0,170876.7
55856,6,547045.0,166226.0
55830,6,535192.5,170841.8
55829,6,535184.7,170842.9
55825,6,535175.8,170820.0
55726,6,535170.5,170813.3
55606,6,546690.5,166603.4
55283,6,547048.5,166266.1
55219,6,542402.8,165517.6
55186,6,540131.0,169048.7
54865,6,540436.4,170300.7
54730,6,547123.3,165338.6
54370,6,547401.0,165420.8
54239,6,547721.0,165142.5
54093,6,546157.5,163900.6
54028,6,546136.9,169143.2
53665,6,536297.6,169802.6
53258,6,547505.5,165363.6
53081,6,540105.7,168967.8
53079,6,540129.9,169133.0
52963,6,540032.1,169229.9
52900,6,545464.4,171083.3
52550,6,545778.6,170903.8
52276,6,534717.4,169899.6
52265,6,539902.6,170447.1
52178,6,545711.5,166894.5
52123,6,546996.6,170135.3
51740,6,539803.9,165055.5
51481,6,547864.1,164297.9
51330,6,548100.2,164019.1
51091,6,542751.4,171532.4
51020,6,545565.1,164490.5
50979,6,543787.9,167130.0
50902,6,539618.1,168298.5
50394,6,545153.9,164922.6
50310,6,545602.7,169542.9
50256,6,544808.5,164248.5
50178,6,544924.6,164954.1
49909,6,546479.2,166243.4
49891,6,545684.6,168826.0
49747,6,541796.8,171820.2
48987,6,540283.8,170563.1
48956,6,538422.9,165458.5
48501,6,545950.9,169776.2
47780,6,547814.2,166369.6
47652,6,545612.2,163584.2
47369,6,543709.2,164564.0
46832,6,538740.6,165426.7
46808,6,546063.4,166782.9
46695,6,534844.3,170103.8
46562,6,539637.3,167615.8
46501,6,545565.2,164296.0
46485,6,548445.4,163393.4
46318,6,543818.9,167050.4
46032,6,535340.0,170076.0
45928,6,540164.7,167386.0
45845,6,538609.5,165309.8
45803,6,539898.6,167957.1
45794,6,534961.8,169242.4
45653,6,545130.7,165903.3
45649,6,547868.1,166109.3
45610,6,546670.3,164954.0
45474,6,535374.0,168999.6
45461,6,534880.0,169325.2
45299,6,547379.6,169167.6
44781,6,544266.2,172274.5
44772,6,540474.9,167287.3
44348,6,544748.6,164277.8
44055,6,534616.1,169999.8
43921,6,546646.7,168640.5
43702,6,544719.7,164284.3
43421,6,546714.7,170431.5
43008,6,539886.4,166609.6
42898,6,547912.3,166170.5
42871,6,534691.5,169850.4
42766,6,540604.1,168266.4
42657,6,546745.1,164108.4
42606,6,546161.9,164345.3
42491,6,540988.6,168797.8
42174,6,543379.3,167017.4
42161,6,542627.4,168062.2
42065,6,542614.8,168091.6
42052,6,545756.6,163787.1
42048,6,543753.9,170965.7
41789,6,540009.5,166492.4
41771,6,535941.6,171008.3
41769,6,536150.9,171094.2
41510,6,546088.9,168115.3
41330,6,539977.5,167405.0
41229,6,540099.4,170979.5
41135,6,546415.4,165828.3
40428,6,547106.0,168616.3
40406,6,539503.1,169336.8
40362,6,536128.2,169379.2
40130,6,548126.7,164017.8
39764,6,539955.5,166374.4
39684,6,538804.2,170053.2
39443,6,542394.2,158639.9
38804,6,548038.6,164097.1
38458,6,540087.7,170578.0
38357,6,548503.7,163303.2
38255,6,540285.3,167622.9
37940,6,547404.7,166244.7
37566,6,538571.2,170030.0
37523,6,539578.5,167663.9
37381,6,546904.5,165746.4
37364,6,546313.2,168755.6
37128,6,547308.7,166387.6
36915,6,545004.6,165800.2
36855,6,537789.2,169458.9
36814,6,539806.1,168784.5
36647,6,542786.2,170623.9
36181,6,546958.9,165459.7
36180,6,546953.8,165533.0
36111,6,542908.1,168494.9
36085,6,545483.3,166999.2
35956,6,546946.7,165629.7
35896,6,547091.6,169620.6
