Name,Address,POINT_X,POINT_Y
Nicholas Wilson Park Soccer Field #1 - Mini,16 Fitzroy Pl,482454.4953,4754101.4635
Heritage Park Soccer Field #1 - Mini,150 Bexhill Dr,483668.4662,4754432.2412
Springbank Flats Soccer Field #1,67 Springbank Dr,478190.4029,4758195.0109
St. Julien Park Soccer Field #1,15 Tommy Hunter Way,483917.0123,4758102.2489
Reservoir Park Soccer Field #1 - Mini,869 Commissioners Rd W,474705.3141,4755753.7355
Reservoir Park Soccer Field #2 - Mini,869 Commissioners Rd W,474745.5792,4755740.7887
Lambeth Centennial Park Soccer Field #3 - Mini,7112 Beattie St,475008.1494,4751004.0355
Lambeth Centennial Park Soccer Field #5 - Mini,7112 Beattie St,474901.4718,4751009.6959
Lambeth Centennial Park Soccer Field #1,7112 Beattie St,474998.0328,4751022.7212
Virginia Park Soccer Field #1 - Mini,225 Chambers Ave,478196.9513,4764874.6954
City Wide Sports Park Soccer Field #1,1510 Commissioners Rd E,485370.2187,4756913.579
City Wide Sports Park Soccer Field #2,1510 Commissioners Rd E,485462.1056,4756923.2853
St. Julien Park Soccer Field #2 - Mini,15 Tommy Hunter Way,483909.8439,4758124.4169
St. Julien Park Soccer Field #3 - Mini,15 Tommy Hunter Way,483922.529,4758080.5475
St. Julien Park Soccer Field #4 - Mini,15 Tommy Hunter Way,483767.1364,4758046.7206
St. Julien Park Soccer Field #5 - Mini,15 Tommy Hunter Way,483777.7074,4758008.6652
University of Western Ontario Soccer Field #2,Huron Dr (pvt),477819.0775,4761312.7153
University of Western Ontario Soccer Field #3,Huron Dr (pvt),477864.6449,4761456.0857
Cantebury Park Soccer Field #1,99 Prince Of Wales Gate,472905.7202,4760090.3544
Plane Tree Park Soccer Field #1,214 Plane Tree Dr,476007.2529,4764090.0739
Plane Tree Park Soccer Field #2,214 Plane Tree Dr,476050.3945,4764122.0529
Northwest Optimist Park Soccer Field #1,48 Hawthorne Rd,474342.7234,4761985.3515
W. Sherwood Fox Public School Soccer Field #1,660 Steeplechase Dr,476858.445,4755345.1306
Stephens Farm Park Soccer Field #1 - Mini,887 South Wenige Dr,479352.5105,4766025.686
Paul Haggis Park Soccer Field #1 - Mini,2875 Bateman Trail,479092.8701,4753433.0137
Meadowgate Fields Soccer Field #1,3155 Meadowgate Blvd,485891.4438,4755740.263
Meadowgate Fields Soccer Field #2,3155 Meadowgate Blvd,485915.0323,4755666.6009
Murray Park Soccer Field #1,75 Cliftonvale Ave,478142.7043,4757274.0739
Murray Park Soccer Field #2,75 Cliftonvale Ave,478144.0183,4757240.639
Riverbend Park Soccer Field #1,1585 Riverbend Rd,470382.4384,4757701.2154
Riverbend Park Soccer Field #2,1585 Riverbend Rd,470440.1176,4757634.5403
Lambeth Optimist Park Soccer Field #1,4200 Campbell St N,476114.6892,4751517.6503
Cleardale Park Soccer Field #1,817 Nixon Ave,480422.5012,4754642.4272
Hastings Park Soccer Field #1 - Micro,1428 Hastings Dr,478506.1781,4763721.6729
Hastings Park Soccer Field #2 - Micro,1428 Hastings Dr,478466.917,4763701.0135
Mitches Park Soccer Field #1 - Mid,640 Upper Queens St,480631.0982,4755201.9872
North London Athletic Fields Soccer Field Stadium,1225 Adelaide St N,479452.3245,4762734.4157
North London Athletic Fields Soccer Field #5A - Mid,1225 Adelaide St N,479468.4367,4762615.4761
North London Athletic Fields Soccer Field #5B - Mid,1225 Adelaide St N,479472.152,4762556.4781
Settlement Trail,3470 Settlement Trail,475069.5369,4753493.8314
Hastings Park Soccer Field #3 - Micro,1428 Hastings Dr,478438.3419,4763689.5835
Hastings Park Soccer Field #3 - Micro,1428 Hastings Dr,478489.777,4763711.1735
Plane Tree Park Soccer Field #3,214 Plane Tree Dr,476131.754,4764169.2811
Virginia Park Soccer Field #2 - Mini,225 Chambers Ave,478247.7514,4764976.6925
North London Athletic Fields Soccer Field #6 - Mini,1225 Adelaide St N,479475.327,4762587.0375
